timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-18T12:28:25.606+07:00,spark,308.73%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:28:25.606+07:00,postgres,1.59%,60.39MiB / 7.678GiB,0.77%
2026-08-18T12:28:25.606+07:00,kafka,46.69%,998.2MiB / 7.678GiB,12.70%
2026-08-18T12:28:28.865+07:00,spark,390.23%,5.077GiB / 7.678GiB,66.12%
2026-08-18T12:28:28.865+07:00,postgres,17.76%,60.45MiB / 7.678GiB,0.77%
2026-08-18T12:28:28.865+07:00,kafka,6.85%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:32.117+07:00,spark,307.69%,5.077GiB / 7.678GiB,66.12%
2026-08-18T12:28:32.117+07:00,postgres,6.49%,58.11MiB / 7.678GiB,0.74%
2026-08-18T12:28:32.117+07:00,kafka,4.20%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:35.339+07:00,spark,291.63%,5.076GiB / 7.678GiB,66.10%
2026-08-18T12:28:35.339+07:00,postgres,3.73%,58.11MiB / 7.678GiB,0.74%
2026-08-18T12:28:35.339+07:00,kafka,12.76%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:38.728+07:00,spark,244.46%,5.077GiB / 7.678GiB,66.12%
2026-08-18T12:28:38.728+07:00,postgres,3.40%,62.39MiB / 7.678GiB,0.79%
2026-08-18T12:28:38.728+07:00,kafka,3.47%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:42.004+07:00,spark,259.67%,5.078GiB / 7.678GiB,66.14%
2026-08-18T12:28:42.004+07:00,postgres,3.07%,60.57MiB / 7.678GiB,0.77%
2026-08-18T12:28:42.004+07:00,kafka,3.75%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:45.252+07:00,spark,77.87%,5.076GiB / 7.678GiB,66.11%
2026-08-18T12:28:45.252+07:00,postgres,5.54%,58.19MiB / 7.678GiB,0.74%
2026-08-18T12:28:45.252+07:00,kafka,2.46%,991.3MiB / 7.678GiB,12.61%
2026-08-18T12:28:48.541+07:00,spark,301.09%,5.079GiB / 7.678GiB,66.15%
2026-08-18T12:28:48.541+07:00,postgres,0.00%,58.12MiB / 7.678GiB,0.74%
2026-08-18T12:28:48.541+07:00,kafka,3.90%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:51.830+07:00,spark,202.25%,5.077GiB / 7.678GiB,66.12%
2026-08-18T12:28:51.830+07:00,postgres,5.05%,58.22MiB / 7.678GiB,0.74%
2026-08-18T12:28:51.830+07:00,kafka,5.20%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:55.095+07:00,spark,331.26%,5.077GiB / 7.678GiB,66.12%
2026-08-18T12:28:55.095+07:00,postgres,6.90%,58.22MiB / 7.678GiB,0.74%
2026-08-18T12:28:55.095+07:00,kafka,3.33%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:28:58.346+07:00,spark,325.15%,5.084GiB / 7.678GiB,66.21%
2026-08-18T12:28:58.346+07:00,postgres,0.85%,58.18MiB / 7.678GiB,0.74%
2026-08-18T12:28:58.346+07:00,kafka,5.64%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:29:01.584+07:00,spark,350.18%,5.082GiB / 7.678GiB,66.19%
2026-08-18T12:29:01.584+07:00,postgres,0.03%,57.99MiB / 7.678GiB,0.74%
2026-08-18T12:29:01.584+07:00,kafka,8.91%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:29:04.650+07:00,spark,323.37%,5.083GiB / 7.678GiB,66.20%
2026-08-18T12:29:04.650+07:00,postgres,3.69%,58.04MiB / 7.678GiB,0.74%
2026-08-18T12:29:04.650+07:00,kafka,3.59%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:29:07.923+07:00,spark,354.53%,5.084GiB / 7.678GiB,66.21%
2026-08-18T12:29:07.923+07:00,postgres,0.00%,58.12MiB / 7.678GiB,0.74%
2026-08-18T12:29:07.923+07:00,kafka,3.94%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:29:10.945+07:00,spark,337.58%,5.082GiB / 7.678GiB,66.19%
2026-08-18T12:29:10.945+07:00,postgres,16.57%,58.29MiB / 7.678GiB,0.74%
2026-08-18T12:29:10.945+07:00,kafka,3.67%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:29:13.980+07:00,spark,379.88%,5.085GiB / 7.678GiB,66.23%
2026-08-18T12:29:13.980+07:00,postgres,0.00%,57.95MiB / 7.678GiB,0.74%
2026-08-18T12:29:13.980+07:00,kafka,2.90%,991.2MiB / 7.678GiB,12.61%
2026-08-18T12:29:17.286+07:00,spark,330.77%,5.084GiB / 7.678GiB,66.21%
2026-08-18T12:29:17.286+07:00,postgres,0.02%,58.04MiB / 7.678GiB,0.74%
