timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T14:27:41.981+07:00,kafka,27.56%,878.2MiB / 7.678GiB,11.17%
2026-08-24T14:27:41.981+07:00,spark,328.90%,3.794GiB / 7.678GiB,49.42%
2026-08-24T14:27:41.981+07:00,postgres,0.00%,138.1MiB / 7.678GiB,1.76%
2026-08-24T14:27:45.016+07:00,kafka,41.95%,878.3MiB / 7.678GiB,11.17%
2026-08-24T14:27:45.016+07:00,spark,319.67%,3.858GiB / 7.678GiB,50.24%
2026-08-24T14:27:45.016+07:00,postgres,2.09%,139.1MiB / 7.678GiB,1.77%
2026-08-24T14:27:48.230+07:00,kafka,14.79%,878.6MiB / 7.678GiB,11.17%
2026-08-24T14:27:48.230+07:00,spark,363.41%,3.934GiB / 7.678GiB,51.24%
2026-08-24T14:27:48.230+07:00,postgres,0.00%,138.1MiB / 7.678GiB,1.76%
2026-08-24T14:27:51.274+07:00,kafka,15.06%,884.7MiB / 7.678GiB,11.25%
2026-08-24T14:27:51.274+07:00,spark,339.63%,3.969GiB / 7.678GiB,51.69%
2026-08-24T14:27:51.274+07:00,postgres,20.30%,138.5MiB / 7.678GiB,1.76%
2026-08-24T14:27:54.345+07:00,kafka,15.68%,879.7MiB / 7.678GiB,11.19%
2026-08-24T14:27:54.345+07:00,spark,373.65%,4.015GiB / 7.678GiB,52.29%
2026-08-24T14:27:54.345+07:00,postgres,0.00%,138.5MiB / 7.678GiB,1.76%
2026-08-24T14:27:57.563+07:00,kafka,12.91%,880.1MiB / 7.678GiB,11.19%
2026-08-24T14:27:57.563+07:00,spark,379.89%,4.084GiB / 7.678GiB,53.18%
2026-08-24T14:27:57.563+07:00,postgres,0.00%,138MiB / 7.678GiB,1.76%
2026-08-24T14:28:00.617+07:00,kafka,20.48%,880.1MiB / 7.678GiB,11.19%
2026-08-24T14:28:00.617+07:00,spark,316.54%,4.145GiB / 7.678GiB,53.98%
2026-08-24T14:28:00.617+07:00,postgres,0.00%,138MiB / 7.678GiB,1.76%
2026-08-24T14:28:03.670+07:00,kafka,16.02%,880.4MiB / 7.678GiB,11.20%
2026-08-24T14:28:03.670+07:00,spark,362.89%,4.222GiB / 7.678GiB,54.99%
2026-08-24T14:28:03.670+07:00,postgres,0.00%,138.1MiB / 7.678GiB,1.76%
2026-08-24T14:28:06.904+07:00,kafka,5.55%,881.5MiB / 7.678GiB,11.21%
2026-08-24T14:28:06.904+07:00,spark,297.39%,4.255GiB / 7.678GiB,55.42%
2026-08-24T14:28:06.904+07:00,postgres,3.95%,138.1MiB / 7.678GiB,1.76%
2026-08-24T14:28:10.234+07:00,kafka,14.59%,881.2MiB / 7.678GiB,11.21%
2026-08-24T14:28:10.234+07:00,spark,364.88%,4.28GiB / 7.678GiB,55.75%
2026-08-24T14:28:10.234+07:00,postgres,0.00%,138.4MiB / 7.678GiB,1.76%
2026-08-24T14:28:13.278+07:00,kafka,7.35%,882.3MiB / 7.678GiB,11.22%
2026-08-24T14:28:13.278+07:00,spark,338.81%,4.307GiB / 7.678GiB,56.09%
2026-08-24T14:28:13.278+07:00,postgres,22.56%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:28:16.506+07:00,kafka,5.33%,882.4MiB / 7.678GiB,11.22%
