timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T11:05:34.141+07:00,postgres,20.33%,134MiB / 7.678GiB,1.70%
2026-08-24T11:05:37.547+07:00,kafka,21.56%,1.072GiB / 7.678GiB,13.97%
2026-08-24T11:05:37.547+07:00,spark,303.09%,3.747GiB / 7.678GiB,48.80%
2026-08-24T11:05:37.547+07:00,postgres,0.00%,133.9MiB / 7.678GiB,1.70%
2026-08-24T11:05:40.601+07:00,kafka,10.51%,1.073GiB / 7.678GiB,13.97%
2026-08-24T11:05:40.601+07:00,spark,373.92%,3.762GiB / 7.678GiB,48.99%
2026-08-24T11:05:40.601+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:43.896+07:00,kafka,10.63%,1.073GiB / 7.678GiB,13.98%
2026-08-24T11:05:43.896+07:00,spark,231.65%,3.802GiB / 7.678GiB,49.51%
2026-08-24T11:05:43.896+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:47.167+07:00,kafka,8.73%,1.073GiB / 7.678GiB,13.98%
2026-08-24T11:05:47.167+07:00,spark,385.47%,3.81GiB / 7.678GiB,49.63%
2026-08-24T11:05:47.167+07:00,postgres,0.00%,133.7MiB / 7.678GiB,1.70%
2026-08-24T11:05:50.385+07:00,kafka,12.77%,1.076GiB / 7.678GiB,14.01%
2026-08-24T11:05:50.385+07:00,spark,335.10%,3.835GiB / 7.678GiB,49.94%
2026-08-24T11:05:50.385+07:00,postgres,16.54%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:53.633+07:00,kafka,11.19%,1.078GiB / 7.678GiB,14.04%
2026-08-24T11:05:53.633+07:00,spark,374.56%,3.874GiB / 7.678GiB,50.46%
2026-08-24T11:05:53.633+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:05:56.913+07:00,kafka,7.72%,1.078GiB / 7.678GiB,14.04%
2026-08-24T11:05:56.913+07:00,spark,383.31%,3.951GiB / 7.678GiB,51.46%
2026-08-24T11:05:56.913+07:00,postgres,13.42%,133.9MiB / 7.678GiB,1.70%
2026-08-24T11:06:00.378+07:00,kafka,12.79%,1.078GiB / 7.678GiB,14.04%
2026-08-24T11:06:00.378+07:00,spark,379.21%,3.98GiB / 7.678GiB,51.83%
2026-08-24T11:06:00.378+07:00,postgres,0.00%,136.4MiB / 7.678GiB,1.73%
2026-08-24T11:06:03.621+07:00,kafka,15.65%,1.078GiB / 7.678GiB,14.05%
2026-08-24T11:06:03.621+07:00,spark,376.35%,3.997GiB / 7.678GiB,52.05%
2026-08-24T11:06:03.621+07:00,postgres,0.00%,136.3MiB / 7.678GiB,1.73%
2026-08-24T11:06:06.917+07:00,kafka,11.69%,1.079GiB / 7.678GiB,14.06%
2026-08-24T11:06:06.917+07:00,spark,357.43%,4.04GiB / 7.678GiB,52.62%
2026-08-24T11:06:06.917+07:00,postgres,14.14%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:06:10.352+07:00,kafka,14.68%,1.08GiB / 7.678GiB,14.06%
2026-08-24T11:06:10.352+07:00,spark,352.77%,4.069GiB / 7.678GiB,53.00%
2026-08-24T11:06:10.352+07:00,postgres,0.01%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:06:13.580+07:00,kafka,23.22%,1.08GiB / 7.678GiB,14.06%
2026-08-24T11:06:13.580+07:00,spark,373.72%,4.111GiB / 7.678GiB,53.54%
2026-08-24T11:06:13.580+07:00,postgres,0.02%,133.8MiB / 7.678GiB,1.70%
2026-08-24T11:06:16.872+07:00,kafka,16.95%,1.081GiB / 7.678GiB,14.07%
2026-08-24T11:06:16.872+07:00,spark,343.84%,4.167GiB / 7.678GiB,54.27%
2026-08-24T11:06:16.872+07:00,postgres,14.35%,134MiB / 7.678GiB,1.70%
2026-08-24T11:06:20.177+07:00,kafka,12.84%,1.082GiB / 7.678GiB,14.09%
2026-08-24T11:06:20.177+07:00,spark,318.12%,4.219GiB / 7.678GiB,54.94%
2026-08-24T11:06:20.177+07:00,postgres,0.00%,134MiB / 7.678GiB,1.70%
2026-08-24T11:06:23.197+07:00,kafka,18.65%,1.092GiB / 7.678GiB,14.23%
2026-08-24T11:06:23.197+07:00,spark,362.31%,4.346GiB / 7.678GiB,56.60%
2026-08-24T11:06:23.197+07:00,postgres,5.30%,138.5MiB / 7.678GiB,1.76%
2026-08-24T11:06:26.436+07:00,kafka,11.48%,1.092GiB / 7.678GiB,14.23%
2026-08-24T11:06:26.436+07:00,spark,327.13%,4.359GiB / 7.678GiB,56.77%
2026-08-24T11:06:26.436+07:00,postgres,0.11%,138.5MiB / 7.678GiB,1.76%
2026-08-24T11:06:29.796+07:00,kafka,17.33%,1.092GiB / 7.678GiB,14.23%
2026-08-24T11:06:29.796+07:00,spark,350.14%,4.396GiB / 7.678GiB,57.26%
2026-08-24T11:06:29.796+07:00,postgres,1.46%,140.2MiB / 7.678GiB,1.78%
2026-08-24T11:06:32.813+07:00,kafka,19.90%,1.092GiB / 7.678GiB,14.22%
2026-08-24T11:06:32.813+07:00,spark,326.33%,4.434GiB / 7.678GiB,57.75%
2026-08-24T11:06:32.813+07:00,postgres,19.13%,137.4MiB / 7.678GiB,1.75%
2026-08-24T11:06:36.074+07:00,kafka,15.16%,1.094GiB / 7.678GiB,14.24%
2026-08-24T11:06:36.074+07:00,spark,325.66%,4.506GiB / 7.678GiB,58.68%
2026-08-24T11:06:36.074+07:00,postgres,0.02%,137.4MiB / 7.678GiB,1.75%
2026-08-24T11:06:39.326+07:00,kafka,15.16%,1.093GiB / 7.678GiB,14.23%
2026-08-24T11:06:39.326+07:00,spark,275.49%,4.523GiB / 7.678GiB,58.91%
2026-08-24T11:06:39.326+07:00,postgres,0.04%,138.3MiB / 7.678GiB,1.76%
2026-08-24T11:06:42.364+07:00,kafka,19.32%,1.094GiB / 7.678GiB,14.24%
2026-08-24T11:06:42.364+07:00,spark,370.20%,4.526GiB / 7.678GiB,58.94%
2026-08-24T11:06:42.364+07:00,postgres,0.03%,140.7MiB / 7.678GiB,1.79%
2026-08-24T11:06:45.614+07:00,kafka,13.47%,1.091GiB / 7.678GiB,14.21%
2026-08-24T11:06:45.614+07:00,spark,365.42%,4.528GiB / 7.678GiB,58.98%
2026-08-24T11:06:45.614+07:00,postgres,1.04%,140.7MiB / 7.678GiB,1.79%
2026-08-24T11:06:48.862+07:00,kafka,19.23%,1.092GiB / 7.678GiB,14.22%
2026-08-24T11:06:48.862+07:00,spark,292.68%,4.527GiB / 7.678GiB,58.96%
2026-08-24T11:06:48.862+07:00,postgres,29.69%,142.8MiB / 7.678GiB,1.82%
2026-08-24T11:06:54.436+07:00,kafka,33.60%,1.089GiB / 7.678GiB,14.18%
2026-08-24T11:06:54.436+07:00,spark,336.61%,4.529GiB / 7.678GiB,58.99%
2026-08-24T11:06:54.436+07:00,postgres,17.06%,138.6MiB / 7.678GiB,1.76%
2026-08-24T11:06:57.717+07:00,kafka,8.95%,1.091GiB / 7.678GiB,14.21%
2026-08-24T11:06:57.717+07:00,spark,376.94%,4.538GiB / 7.678GiB,59.10%
2026-08-24T11:06:57.717+07:00,postgres,0.02%,138.6MiB / 7.678GiB,1.76%
2026-08-24T11:07:00.851+07:00,kafka,47.54%,1.095GiB / 7.678GiB,14.26%
2026-08-24T11:07:00.851+07:00,spark,344.49%,4.54GiB / 7.678GiB,59.13%
2026-08-24T11:07:00.851+07:00,postgres,1.47%,142.7MiB / 7.678GiB,1.81%
2026-08-24T11:07:04.098+07:00,kafka,18.28%,1.091GiB / 7.678GiB,14.21%
2026-08-24T11:07:04.098+07:00,spark,352.57%,4.548GiB / 7.678GiB,59.23%
2026-08-24T11:07:04.098+07:00,postgres,15.39%,138.2MiB / 7.678GiB,1.76%
2026-08-24T11:07:07.396+07:00,kafka,7.96%,1.093GiB / 7.678GiB,14.23%
2026-08-24T11:07:07.396+07:00,spark,360.27%,4.555GiB / 7.678GiB,59.32%
2026-08-24T11:07:07.396+07:00,postgres,0.01%,138.5MiB / 7.678GiB,1.76%
2026-08-24T11:07:10.466+07:00,kafka,16.95%,1.093GiB / 7.678GiB,14.23%
2026-08-24T11:07:10.466+07:00,spark,344.47%,4.555GiB / 7.678GiB,59.32%
2026-08-24T11:07:10.466+07:00,postgres,12.99%,142.5MiB / 7.678GiB,1.81%
2026-08-24T11:07:13.704+07:00,kafka,12.22%,1.093GiB / 7.678GiB,14.24%
2026-08-24T11:07:13.704+07:00,spark,298.11%,4.562GiB / 7.678GiB,59.41%
2026-08-24T11:07:13.704+07:00,postgres,7.99%,138.7MiB / 7.678GiB,1.76%
2026-08-24T11:07:16.972+07:00,kafka,13.52%,1.094GiB / 7.678GiB,14.25%
2026-08-24T11:07:16.972+07:00,spark,294.93%,4.569GiB / 7.678GiB,59.50%
2026-08-24T11:07:16.972+07:00,postgres,14.07%,138.7MiB / 7.678GiB,1.76%
2026-08-24T11:07:20.273+07:00,kafka,15.71%,1.094GiB / 7.678GiB,14.25%
2026-08-24T11:07:20.273+07:00,spark,353.00%,4.569GiB / 7.678GiB,59.51%
2026-08-24T11:07:20.273+07:00,postgres,1.02%,142.6MiB / 7.678GiB,1.81%
2026-08-24T11:07:23.579+07:00,kafka,9.12%,1.095GiB / 7.678GiB,14.26%
2026-08-24T11:07:23.579+07:00,spark,326.44%,4.599GiB / 7.678GiB,59.90%
2026-08-24T11:07:23.579+07:00,postgres,0.04%,138.5MiB / 7.678GiB,1.76%
2026-08-24T11:07:26.850+07:00,kafka,16.35%,1.095GiB / 7.678GiB,14.27%
2026-08-24T11:07:26.850+07:00,spark,332.43%,4.63GiB / 7.678GiB,60.30%
2026-08-24T11:07:26.850+07:00,postgres,2.49%,140.8MiB / 7.678GiB,1.79%
2026-08-24T11:07:30.236+07:00,kafka,14.41%,1.096GiB / 7.678GiB,14.27%
2026-08-24T11:07:30.236+07:00,spark,342.94%,4.657GiB / 7.678GiB,60.65%
2026-08-24T11:07:30.236+07:00,postgres,0.02%,138.6MiB / 7.678GiB,1.76%
2026-08-24T11:07:33.270+07:00,kafka,16.49%,1.096GiB / 7.678GiB,14.28%
2026-08-24T11:07:33.270+07:00,spark,371.90%,4.676GiB / 7.678GiB,60.90%
2026-08-24T11:07:33.270+07:00,postgres,1.87%,140.6MiB / 7.678GiB,1.79%
2026-08-24T11:07:36.518+07:00,kafka,12.78%,1.097GiB / 7.678GiB,14.29%
2026-08-24T11:07:36.518+07:00,spark,281.64%,4.702GiB / 7.678GiB,61.23%
2026-08-24T11:07:36.518+07:00,postgres,9.85%,138.3MiB / 7.678GiB,1.76%
2026-08-24T11:07:39.760+07:00,kafka,13.28%,1.097GiB / 7.678GiB,14.29%
2026-08-24T11:07:39.760+07:00,spark,316.50%,4.705GiB / 7.678GiB,61.28%
2026-08-24T11:07:39.760+07:00,postgres,0.13%,138MiB / 7.678GiB,1.76%
2026-08-24T11:07:42.806+07:00,kafka,10.31%,1.098GiB / 7.678GiB,14.30%
2026-08-24T11:07:42.806+07:00,spark,290.75%,4.708GiB / 7.678GiB,61.32%
2026-08-24T11:07:42.806+07:00,postgres,24.06%,142.3MiB / 7.678GiB,1.81%
2026-08-24T11:07:46.059+07:00,kafka,13.93%,1.098GiB / 7.678GiB,14.30%
2026-08-24T11:07:46.059+07:00,spark,364.39%,4.713GiB / 7.678GiB,61.38%
2026-08-24T11:07:46.059+07:00,postgres,0.02%,138.3MiB / 7.678GiB,1.76%
2026-08-24T11:07:49.330+07:00,kafka,12.27%,1.099GiB / 7.678GiB,14.31%
2026-08-24T11:07:49.330+07:00,spark,264.85%,4.71GiB / 7.678GiB,61.34%
2026-08-24T11:07:49.330+07:00,postgres,16.19%,140.8MiB / 7.678GiB,1.79%
2026-08-24T11:07:52.366+07:00,kafka,13.78%,1.099GiB / 7.678GiB,14.31%
2026-08-24T11:07:52.366+07:00,spark,283.98%,4.724GiB / 7.678GiB,61.53%
2026-08-24T11:07:52.366+07:00,postgres,0.02%,138.4MiB / 7.678GiB,1.76%
2026-08-24T11:07:55.623+07:00,kafka,17.26%,1.099GiB / 7.678GiB,14.32%
2026-08-24T11:07:55.623+07:00,spark,342.82%,4.731GiB / 7.678GiB,61.61%
2026-08-24T11:07:55.623+07:00,postgres,0.02%,138.4MiB / 7.678GiB,1.76%
2026-08-24T11:07:58.907+07:00,kafka,11.99%,1.1GiB / 7.678GiB,14.32%
2026-08-24T11:07:58.907+07:00,spark,212.74%,4.731GiB / 7.678GiB,61.62%
2026-08-24T11:07:58.907+07:00,postgres,25.32%,138.4MiB / 7.678GiB,1.76%
2026-08-24T11:08:01.965+07:00,kafka,17.39%,1.1GiB / 7.678GiB,14.33%
2026-08-24T11:08:01.965+07:00,spark,364.92%,4.734GiB / 7.678GiB,61.65%
2026-08-24T11:08:01.965+07:00,postgres,0.02%,138.4MiB / 7.678GiB,1.76%
2026-08-24T11:08:05.244+07:00,kafka,10.13%,1.099GiB / 7.678GiB,14.31%
2026-08-24T11:08:05.244+07:00,spark,306.75%,4.733GiB / 7.678GiB,61.64%
2026-08-24T11:08:05.244+07:00,postgres,20.14%,142.1MiB / 7.678GiB,1.81%
2026-08-24T11:08:08.552+07:00,kafka,18.31%,1.099GiB / 7.678GiB,14.31%
2026-08-24T11:08:08.552+07:00,spark,349.66%,4.732GiB / 7.678GiB,61.63%
2026-08-24T11:08:08.552+07:00,postgres,0.12%,138.3MiB / 7.678GiB,1.76%
2026-08-24T11:08:11.593+07:00,kafka,10.17%,1.099GiB / 7.678GiB,14.32%
2026-08-24T11:08:11.593+07:00,spark,357.85%,4.733GiB / 7.678GiB,61.65%
